Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2023-05-08T13:30:00.000Z,4136.98,4140.93,4136.98,4139.84,0.10,0.10,0
2023-05-08T13:31:00.000Z,4139.92,4139.92,4137.02,4137.22,-0.06,-0.06,11852361
2023-05-08T13:32:00.000Z,4137.32,4138.38,4136.94,4137.34,0,0,10489166
2023-05-08T13:33:00.000Z,4137.45,4138.22,4135.86,4136.31,-0.02,-0.03,9602944
2023-05-08T13:34:00.000Z,4136.29,4136.53,4135.44,4136.07,-0.01,-0.01,8123025
2023-05-08T13:35:00.000Z,4135.90,4138.31,4135.52,4137.65,0.04,0.04,9175701
2023-05-08T13:36:00.000Z,4137.54,4138.44,4137.54,4138.13,0.01,0.01,7874913
2023-05-08T13:37:00.000Z,4138.09,4139.72,4138.09,4139.28,0.03,0.03,7662509
2023-05-08T13:38:00.000Z,4139.43,4139.43,4138.48,4138.48,-0.02,-0.02,7296095
2023-05-08T13:39:00.000Z,4138.51,4139.38,4138.45,4139.32,0.02,0.02,7025102
2023-05-08T13:40:00.000Z,4139.36,4140.01,4138.50,4138.59,-0.02,-0.02,9906456
2023-05-08T13:41:00.000Z,4138.61,4139.03,4137.50,4138.07,-0.01,-0.01,7463119
2023-05-08T13:42:00.000Z,4138.12,4138.66,4137.24,4138.22,0,0,7515920
2023-05-08T13:43:00.000Z,4138.26,4138.30,4136.93,4137.22,-0.02,-0.02,6677431
2023-05-08T13:44:00.000Z,4137.14,4137.18,4135.53,4135.81,-0.03,-0.03,6941836
2023-05-08T13:45:00.000Z,4135.81,4136.61,4135.01,4135.65,0,0,7974551
2023-05-08T13:46:00.000Z,4135.59,4135.59,4133.42,4133.42,-0.05,-0.05,7748309
2023-05-08T13:47:00.000Z,4133.38,4133.49,4131.59,4131.66,-0.04,-0.04,6805562
2023-05-08T13:48:00.000Z,4131.74,4133.69,4131.32,4133.28,0.04,0.04,6242717
2023-05-08T13:49:00.000Z,4133.30,4133.80,4131.97,4131.97,-0.03,-0.03,7090459
2023-05-08T13:50:00.000Z,4132.07,4132.07,4129.69,4129.74,-0.05,-0.05,8248764
2023-05-08T13:51:00.000Z,4129.66,4131.13,4129.59,4130.84,0.03,0.03,6606189
2023-05-08T13:52:00.000Z,4130.93,4133.24,4130.93,4132.74,0.05,0.05,6429901
2023-05-08T13:53:00.000Z,4132.73,4132.73,4131.56,4131.88,-0.02,-0.02,6190887
2023-05-08T13:54:00.000Z,4131.66,4131.72,4130.09,4130.11,-0.04,-0.04,5489738
2023-05-08T13:55:00.000Z,4130.15,4131.89,4130.11,4131.73,0.04,0.04,5833823
2023-05-08T13:56:00.000Z,4131.78,4132.72,4131.72,4132.40,0.02,0.02,5544507
2023-05-08T13:57:00.000Z,4132.31,4132.60,4130.74,4130.78,-0.04,-0.04,5989134
2023-05-08T13:58:00.000Z,4130.73,4132.11,4130.64,4131.64,0.02,0.02,5713798
2023-05-08T13:59:00.000Z,4131.60,4132.31,4131.20,4132.31,0.02,0.02,5943623
2023-05-08T14:00:00.000Z,4132.37,4134.39,4131.56,4134.29,0.05,0.05,8061998
2023-05-08T14:01:00.000Z,4134.29,4134.37,4132.98,4133.96,-0.01,-0.01,6745992
2023-05-08T14:02:00.000Z,4133.99,4134.79,4133.39,4134.79,0.02,0.02,5640995
2023-05-08T14:03:00.000Z,4134.77,4134.79,4133.19,4134.22,-0.01,-0.01,6498100
2023-05-08T14:04:00.000Z,4134.27,4135.04,4134.27,4135.04,0.02,0.02,6918827
2023-05-08T14:05:00.000Z,4135.23,4135.44,4134.61,4134.74,-0.01,-0.01,5937245
2023-05-08T14:06:00.000Z,4134.77,4135.69,4133.88,4134.22,-0.01,-0.01,5646721
2023-05-08T14:07:00.000Z,4134.26,4134.48,4133.01,4133.03,-0.03,-0.03,5079908
2023-05-08T14:08:00.000Z,4132.92,4133.63,4131.76,4131.96,-0.03,-0.03,6273291
2023-05-08T14:09:00.000Z,4131.85,4132.39,4130.49,4130.73,-0.03,-0.03,5005485
2023-05-08T14:10:00.000Z,4130.80,4132.33,4130.80,4132.09,0.03,0.03,5278010
2023-05-08T14:11:00.000Z,4132.09,4132.09,4129.72,4130.12,-0.05,-0.05,5256175
2023-05-08T14:12:00.000Z,4130.10,4130.10,4128.49,4129.44,-0.02,-0.02,5592368
2023-05-08T14:13:00.000Z,4129.41,4131.40,4129.34,4131.21,0.04,0.04,4605936
2023-05-08T14:14:00.000Z,4131.28,4131.40,4129.97,4129.98,-0.03,-0.03,4113864
2023-05-08T14:15:00.000Z,4129.94,4130.97,4129.69,4129.69,-0.01,-0.01,4278668
